invoice_id,vendor_id,vendor_state,vendor_tier,vendor_registration_date,vendor_age_years,disaster_program,category,item,unit,quantity,unit_price,reference_unit_price,price_deviation,total_amount,invoice_datetime,payment_mode,is_anomaly_test_label,anomaly_type_test_only
INV-000001,VEND-0091,Kerala,regular,2013-10-04,12.682,Bihar Flood Relief 2026,Shelter & NFI,Tarpaulin Sheet (18x12ft),unit,44,1201.39,1091.11,0.1011,52861.16,2026-06-10 9:47:25,UPI,0,
INV-000002,VEND-0475,Himachal Pradesh,regular,2021-08-13,4.964,Himachal Cloudburst Relief 2026,Clothing & Bedding,Children's Clothing Set,set,8,320.72,322.15,-0.0044,2565.76,2026-07-31 17:27:14,UPI,0,
INV-000003,VEND-0595,Assam,core,2016-04-17,9.281,Assam Flood Relief 2025,Medical & Health,ORS + Zinc Kit,kit,23,0.5,42.77,-0.9883,11.5,2025-07-29 16:02:54,Bank Transfer (NEFT),1,high_price_deviation
INV-000004,VEND-0292,Kerala,core,2018-10-29,6.743,Assam Flood Relief 2025,Shelter & NFI,Rope (50m coil),coil,23,267.39,264.38,0.0114,6149.97,2025-07-27 10:57:02,Bank Transfer (NEFT),0,
INV-000005,VEND-0335,Kerala,core,2013-04-13,12.093,Maharashtra Drought Relief 2025,Shelter & NFI,Family Tent,unit,19,4696.11,4651.51,0.0096,89226.09,2025-05-17 9:13:08,Bank Transfer (RTGS),0,
INV-000006,VEND-0271,Assam,core,2022-06-15,3.389,Odisha Cyclone Relief 2025,Medical & Health,Disposable Gloves (box of 100),box,60,245.18,235.93,0.0392,14710.8,2025-11-04 13:31:09,Bank Transfer (NEFT),0,
INV-000007,VEND-0355,Odisha,regular,2014-02-26,11.195,Maharashtra Drought Relief 2025,Medical & Health,Disposable Gloves (box of 100),box,13,199.3,222.58,-0.1046,2590.9,2025-05-08 10:06:34,Bank Transfer (RTGS),0,
INV-000008,VEND-0276,Kerala,regular,2015-03-09,10.634,Assam Flood Relief 2025,WASH,Bleaching Powder (kg),kg,615,56.59,67.49,-0.1615,34802.85,2025-10-26 16:14:43,Bank Transfer (NEFT),0,
INV-000009,VEND-0634,West Bengal,regular,2020-03-27,5.246,Maharashtra Drought Relief 2025,Food & Nutrition,Nutrition Supplement Sachet,sachet,290,22.63,23.24,-0.0262,6562.7,2025-06-25 13:08:04,Cheque,0,
INV-000010,VEND-0221,West Bengal,regular,2015-06-26,10.502,Odisha Cyclone Relief 2025,Logistics & Transport,Truck Hire (per trip),trip,1,7972.43,7028.82,0.1342,7972.43,2025-12-26 11:22:04,Cheque,0,
